name,brand,ean_code,energy_kcal_100g,carbohydrates_100g,fat_100g,proteins_100g,fiber_100g,sugars_100g,salt_100g,saturated_fat_100g,sodium_100g,category,LLM friendly name
Jabłko,,2000000151184,52,14,0.2,0.3,2.4,10,,,,Raw Ingredients,Apple
Broccoli,,8033803726749,34,7,0.4,2.8,2.6,1.7,,,,Raw Ingredients,Broccoli
Spinach,ASDA,5054781512257,22,0.8,0.8,2.2,2.1,0.8,0.31,0.1,0.124,Raw Ingredients,Spinach
Cucumber,Nature's Pick,4088600352725,15,3.63,0.11,0.65,0.5,1.67,,0.034,,Raw Ingredients,Cucumber
Ail Violet,Les producteurs partenaires,3770013085024,111,18.6,0.49,5.31,5.8,1.2,0.0225,0.009,0.009,Raw Ingredients,Violet Garlic
Pommes de terre,Carrefour discount,3276559054390,2,0.5,2.1,1.5,,,,,,Raw Ingredients,Potato
Whole almonds,"The Foodie Market, Aldi",4088600441689,595,9.1,49.9,21.2,12.5,4.4,0.01,3.84,0.004,Raw Ingredients,Whole almonds
Sonnenblumenkerne (Bio),"Bio Primo, Maryland Trockenfrucht Vertriebs",2200280444206,599,7,52,21,,2.5,0.03,5.6,0.012,Raw Ingredients,Organic sunflower seeds
Easy cook brown rice,worldwide foods,4088600511467,169,35.3,1.3,3.2,1.5,0.3,,0.2,,Raw Ingredients,Easy cook brown rice
Puy Lentils & French green lentils,Merchant Gourmet,5018095011271,138,18,1.7,8.9,7.4,1,0.01,0.3,0.004,Raw Ingredients,Puy Lentils & French green lentils
Red Kidney Beans,Freshona,20166090,117,15,1,8.4,7,2,0.5,0.1,0.2,Raw Ingredients,Red Kidney Beans (canned)
Whole milk,Tesco,5000436589341,33,2.35,1.85,1.75,,2.35,0.055,1.2,0.022,Minimally Processed Foods,Whole milk
Extra Light Skim Milk,Devondale,9300639400013,33.7,4.92,0.12,3.2,,4.92,0.013,0.12,0.0052,Minimally Processed Foods,Extra Light Skim Milk
5% Greek Yogurt,Fage,5201054017432,93,3,5,9,,3,0.1,3.6,0.04,Minimally Processed Foods,5% Greek Yogurt
Mozarella 125g,Leader Price,3263859406820,228,0.8,12,18,,0.8,0.4,12,0.16,Minimally Processed Foods,Mozarella
cottage cheese,Hacendado,8480000609632,99,1.7,4,14,,1.7,0.82,2.6,0.328,Minimally Processed Foods,Cottage cheese
Spreadable Slightly Salted,Lurpak,5740900404465,679,0.6,75,0.5,,0.6,0.885,35,0.354,Minimally Processed Foods,Spreadable Slightly Salted (Lurpak)
6 œufs frais BIO,Ovalis,20057251,140,0.5,9.8,13,,0.5,0.31,2.6,0.124,Minimally Processed Foods,Fresh organic eggs
Blanc de Poulet Nature Sans Nitrite,"Fleury Michon,",3302740059186,100,0.5,1.6,21,,0.5,1.5,0.4,0.6,Minimally Processed Foods,Natural Chicken Breast
Pechuga de pavo,"Realvalle,Lidl",4056489320180,99,1.3,3.3,16,,0.5,1.8,1.1,0.72,Minimally Processed Foods,Turkey Breast
Smoked Tofu,The Tofoo Co.,5034467000223,146,1.9,7.7,16.9,0.8,0.1,,1.2,,Minimally Processed Foods,Smoked Tofu
Tempeh,The Tofoo Company,5034467000872,208,1.8,10.9,21.3,6.1,0.5,0.01,2.9,0.004,Minimally Processed Foods,Tempeh
Seitan veggie,bjorg,3229820796642,132,10,1.7,18,2.2,0.8,0.72,0.3,0.288,Minimally Processed Foods,Seitan
100% Whole Wheat Bread,Nature's Own,72250037129,231,46.2,1.92,11.5,7.69,3.85,1.16,,0.462,Basic Processed Foods,100% Whole Wheat Bread
White Sourdough Bread,Jason’s,5025125000112,236.8,46.016,0.6976,9.728,3.002,2.099,0.8,0.1,0.32,Basic Processed Foods,White Sourdough Bread
Tortilla Wraps with whole wheat,"Snack Day,Lidl",4056489506829,289,46.3,6,9.3,6.4,2.7,1,1.1,0.4,Basic Processed Foods,Tortilla Wraps with whole wheat
Spaghetti N.5,"Barilla,Barilla Nr. 5, Barilla - Barilla G. e R. Fratelli - Società per Azioni - Via Mantova, 166, 43122 Parma - Italy",8076800195057,359,71,2,13,3,3.5,0.01,0.5,0.004,Basic Processed Foods,Spaghetti (Barilla)
Pad Thai Rice Noodles,Thai Dragon,5020580019686,351,80,1.1,5.2,0.5,2.5,0.025,0.6,0.01,Basic Processed Foods,Pad Thai Rice Noodles
gehackte Tomaten,Baresa,20004132,20,3,0.2,1.3,,3,0.04,0.1,0.016,Basic Processed Foods,Chopped tomatoes (canned)
Baked beans,Freshona,20009847,83,12.4,0.6,4.1,,5,0.85,0.2,0.34,Basic Processed Foods,Baked beans (canned)
Altramuces,Hacendado,8480000331366,105,9,1.7,12,3.8,,3.5,0.3,1.4,Basic Processed Foods,Lupines (jarred)
Ananas en tranches au sirop léger,Freshona,20253929,56,13,0.5,0.5,1,13,0.01,,0.004,Basic Processed Foods,Sliced ​​pineapple in light syrup (canned)
Épinards Branches à la Crème,Findus,3599741006329,68,5.8,3.1,3.5,1.6,1.9,0.6,2,0.24,Basic Processed Foods,Creamy Spinach Branches (frozen) (Findus)
"Légumes et Céréales Cuisinés, Patates douces, Edamame, Butternut & Boulgour, crème fraîche et persil",Bonduelle,3083681105247,95,11.8,2.9,3.9,2.9,3.3,0.74,0.8,0.296,Basic Processed Foods,"Cooked Vegetables and Cereals, Sweet Potatoes, Edamame, Butternut and Bulgur, crème fraîche and parsley (frozen) (Bonduelle)"
Peanut Butter,Mcennedy,20474478,658,13.1,56.1,22.8,5.9,4.7,0.6,7.6,0.24,Basic Processed Foods,Peanut Butter
