name,brand,ean_code,energy_kcal_100g,carbohydrates_100g,fat_100g,proteins_100g,fiber_100g,sugars_100g,salt_100g,saturated_fat_100g,sodium_100g,category,LLM friendly name,gpt_completion,gpt_energy_kcal_100g,gpt_proteins_100g,gpt_fat_100g,gpt_carbohydrates_100g
Jabłko,,2000000151184,52.0,14.0,0.2,0.3,2.4,10.0,,,,Raw Ingredients,Apple,"<scratchpad>
An apple is a fruit that is generally low in calories and fat, but contains carbohydrates, mostly in the form of natural sugars and fiber. Apples also have a small amount of protein.

Typical nutritional values per 100 grams for an apple:
- Calories: Approximately 52 kcal
- Protein: Approximately 0.3 grams
- Fat: Approximately 0.2 grams
- Carbohydrates: Approximately 14 grams (includes sugars and fiber)
</scratchpad>

<calories>52</calories>
<protein>0.3</protein>
<fat>0.2</fat>
<carbohydrates>14</carbohydrates>",52.0,0.3,0.2,14.0
Broccoli,,8033803726749,34.0,7.0,0.4,2.8,2.6,1.7,,,,Raw Ingredients,Broccoli,"<scratchpad>
Broccoli is a green vegetable rich in vitamins, minerals, and fiber. It is low in calories and contains a substantial amount of protein compared to other vegetables. Its fat content is minimal, making it a healthy choice for many diets. Broccoli is also known for its carbohydrate content, which primarily comes from dietary fiber and sugar.
</scratchpad>

<calories>34</calories>
<protein>3</protein>
<fat>0.4</fat>
<carbohydrates>7</carbohydrates>",34.0,3.0,0.4,7.0
Spinach,ASDA,5054781512257,22.0,0.8,0.8,2.2,2.1,0.8,0.31,0.1,0.124,Raw Ingredients,Spinach,"<scratchpad>
Spinach is a leafy green vegetable known for its high nutrient content. It's low in calories and contains a good amount of vitamins, minerals, and dietary fiber. Spinach is also relatively high in protein for a vegetable but low in fat. Carbohydrates in spinach are mainly dietary fiber and some sugars.

Typical nutritional values per 100 grams of spinach are approximately:
- Calories: Around 23 kcal
- Protein: Around 2.9 grams
- Fat: Around 0.4 grams
- Carbohydrates: Around 3.6 grams (including fiber)
</scratchpad>

<calories>23</calories>
<protein>2.9</protein>
<fat>0.4</fat>
<carbohydrates>3.6</carbohydrates>",23.0,2.9,0.4,3.6
Cucumber,Nature's Pick,4088600352725,15.0,3.63,0.11,0.65,0.5,1.67,,0.034,,Raw Ingredients,Cucumber,"<scratchpad>
Cucumber is a low-calorie vegetable and consists mostly of water. It has minimal protein, fat, and carbohydrate content.

Typical nutritional content per 100 grams for cucumber:
- Calories: Very low, around 12-16 kcal
- Protein: Low, around 0.6-0.8 grams
- Fat: Very low, around 0.1-0.2 grams
- Carbohydrates: Low, around 3-4 grams (mainly from dietary fiber and sugars)
</scratchpad>

<calories>15</calories>
<protein>0.7</protein>
<fat>0.1</fat>
<carbohydrates>3.6</carbohydrates>",15.0,0.7,0.1,3.6
Ail Violet,Les producteurs partenaires,3770013085024,111.0,18.6,0.49,5.31,5.8,1.2,0.0225,0.009,0.009,Raw Ingredients,Violet Garlic,"<scratchpad>
Violet garlic is a type of garlic that is often characterized by its purple coloration. It is used both as a culinary ingredient and for its medicinal properties. Nutritionally, it is similar to regular garlic, meaning it has low calories, very little fat, decent amounts of protein, and a notable amount of carbohydrates, particularly in the form of sugars. Since violet garlic is essentially the same as common garlic in its nutritional profile, the estimates can be based on standard garlic values.

Typical nutritional values per 100 grams of garlic:
- Calories: Around 149 kcal
- Protein: Around 6.36 grams
- Fat: Around 0.5 grams
- Carbohydrates: Around 33 grams

Considering no significant deviation from common garlic.
</scratchpad>

<calories>149</calories>
<protein>6.36</protein>
<fat>0.5</fat>
<carbohydrates>33</carbohydrates>",149.0,6.36,0.5,33.0
Pommes de terre,Carrefour discount,3276559054390,2.0,0.5,2.1,1.5,,,,,,Raw Ingredients,Potato,"<scratchpad>
Potato is a common root vegetable that is primarily made up of carbohydrates. It is relatively low in fat and protein. Potatoes are also a good source of vitamins and minerals, especially when eaten with their skins. On average, per 100 grams, a potato contains primarily carbohydrates with a smaller proportion of protein and very minimal fat.
</scratchpad>

<calories>77</calories>
<protein>2</protein>
<fat>0</fat>
<carbohydrates>17</carbohydrates>",77.0,2.0,0.0,17.0
Whole almonds,"The Foodie Market, Aldi",4088600441689,595.0,9.1,49.9,21.2,12.5,4.4,0.01,3.84,0.004,Raw Ingredients,Whole almonds,"<scratchpad>
Whole almonds are nuts that are rich in healthy fats, protein, and fiber. They are also known for their dense nutritional profile.
- Average calories in whole almonds per 100 grams: Approximately 575 calories
- Average protein content: About 21 grams
- Average fat content: Around 50 grams
- Average carbohydrate content: Approximately 22 grams, with a significant portion being dietary fiber.
</scratchpad>

<calories>575</calories>
<protein>21</protein>
<fat>50</fat>
<carbohydrates>22</carbohydrates>",575.0,21.0,50.0,22.0
Sonnenblumenkerne (Bio),"Bio Primo, Maryland Trockenfrucht Vertriebs",2200280444206,599.0,7.0,52.0,21.0,,2.5,0.03,5.6,0.012,Raw Ingredients,Organic sunflower seeds,"<scratchpad>
Organic sunflower seeds are known to be nutrient-dense and are typically high in protein, healthy fats, and carbohydrates. They are commonly used as a snack or added to dishes for extra texture and nutrients. Being seeds, they will have a higher fat content.

Generally, sunflower seeds per 100 grams contain about:
- Calories: High due to fats and proteins
- Protein: Moderate to high since they are seeds
- Fat: High, primarily unsaturated fats
- Carbohydrates: Moderate, with some fiber content

Approximate values from typical sunflower seeds can give us a good estimate.
</scratchpad>

<calories>584</calories>
<protein>20</protein>
<fat>51</fat>
<carbohydrates>20</carbohydrates>",584.0,20.0,51.0,20.0
Easy cook brown rice,worldwide foods,4088600511467,169.0,35.3,1.3,3.2,1.5,0.3,,0.2,,Raw Ingredients,Easy cook brown rice,"<scratchpad>
Easy cook brown rice maintains most of the nutritional profile of regular brown rice but is partially pre-cooked to reduce cooking times. Brown rice is a whole grain with the bran and germ layers intact, giving it a nuttier flavor and chewier texture compared to white rice.

Typical nutritional profile per 100 grams for brown rice is approximately:
- Calories: around 110-120 kcal
- Protein: around 2.5-3.5 grams
- Fat: around 0.9-1.5 grams
- Carbohydrates: around 22-26 grams
</scratchpad>

<calories>112</calories>
<protein>2.6</protein>
<fat>1.0</fat>
<carbohydrates>23.0</carbohydrates>",112.0,2.6,1.0,23.0
Puy Lentils & French green lentils,Merchant Gourmet,5018095011271,138.0,18.0,1.7,8.9,7.4,1.0,0.01,0.3,0.004,Raw Ingredients,Puy Lentils & French green lentils,"<scratchpad>
Puy lentils, also known as French green lentils, are a type of legume. They are known for their lower calorie content and high protein, fiber, and mineral content compared to other legumes. Typically, 100 grams of these lentils will have a balanced nutritional profile that is commonly found in most legumes.

Based on typical lentil data, a rough estimate for 100 grams of cooked Puy lentils might include the following data:
- Calories: Usually around 110-120 calories.
- Protein: Legumes like lentils often contain high levels of protein, around 9 grams.
- Fat: Lentils are low in fats, approximately 0.4 grams.
- Carbohydrates: Lentils are also high in carbohydrates, mainly in the form of complex carbs and fiber, around 20 grams.
</scratchpad>

<calories>116</calories>
<protein>9</protein>
<fat>0.4</fat>
<carbohydrates>20</carbohydrates>",116.0,9.0,0.4,20.0
