name,brand,ean_code,energy_kcal_100g,carbohydrates_100g,sugars_100g,fat_100g,proteins_100g,fiber_100g,salt_100g,saturated_fat_100g,sodium_100g
Coca-Cola,Coca-Cola,5449000214911,42.0,10.6,10.6,,,,,,
Root beer - A&W,,7818707,170.0,47.0,46.0,,,,,,
Punk IPA,Brewdog,5056025440432,,,,,,,,,
Imperial Rye Porter,Nøgne Ø,7090008099048,,,,,,,,,
Apple Juice,"Solevita,Vitafit,Naturis",20569105,45.0,10.4,9.9,0.1,0.1,0.5,0.01,0.1,0.004
Limonata,"San Pellegrino, Nestlé",8002270576829,22.0,4.5,4.5,0.1,0.1,0.3,,,
Fanta Orange 2ltr,Fanta,5449000004840,42.0,10.3,10.3,,,,,,
Dr Pepper,Dr Pepper,3124480197368,28.0,6.9,6.8,,,,0.02,,0.008
Coca-Cola,Coca-Cola,5449000000996,42.0,10.6,10.6,,,,,,
Leffe Blonde 🍺,Leffe,5410228142218,58.0,5.4,0.5,,0.4,,0.1,,0.04
Orangensaft,Tropicana,3502110009449,40.0,8.9,8.9,,0.8,0.6,,,
Unsweetened Coconut UHT,Koko,5060100601861,19.0,0.4,0.2,1.4,1.2,0.2,0.1,1.2,0.04
Ice tea,Lipton,3168930171058,13.0,3.1,3.0,,,,0.03,,0.012
Спрайт,"Sprite, The Coca-Cola Company",5449000014535,19.1,4.55,4.55,,,,0.0386,,0.0155
Sok kubuś marchew jabłko malina limetka,Kubuś,5901067470018,35.0,8.5,8.5,,0.7,,,,
Aloe Vera King Pure Premium Lychee,OKF Corporation,0884394000354,38.0,9.6,8.8,,,,0.05,,0.02
