name,brand,ean_code,energy_kcal_100g,carbohydrates_100g,fat_100g,proteins_100g,salt_100g,saturated_fat_100g,sodium_100g,sugars_100g,fiber_100g
BLT Sandwich,REWE to go,4388844252233,255.0,18.60000038147,15.199999809265,9.3000001907349,1.3,2.5999999046326,0.52,2.9000000953674,
Pizza fresca pepperoni,Casa Tarradellas,8410762220585,296.0,27.6,14.2,14.4,1.7,6.7,0.68,1.8,
Cream of Tomato Soup,Heinz,5000157062673,,7.2,2.3,0.9,0.6,0.2,0.24,5.1,0.6
Boeuf bourguignon,Lidl,20289201,64.0,5.4,1.2,7.0,1.1,0.5,0.44,1.3,
Lasaña Fácil,El Pavo,8410173072025,360.0,73.0,1.4,12.0,,0.2,,1.5,3.9
Chili con carne,Hacendado,8480000231376,114.0,7.7,4.7,8.2,1.0,1.1,0.4,2.8,4.0
Pad Thaï Crevettes,,3456700231355,147.0,23.0,3.7,6.0,1.76,0.4,0.704,4.7,1.4
Paëlla à la Valenciana,Picard,3270160697861,140.0,15.0,5.1,7.6,0.71,1.2,0.284,1.5,1.6
Sheperds pie,Tesco Finest,5053947817724,126.0,12.6,4.85,7.24,0.463,2.2,0.185,2.01,1.2
Chicken casserole,Newgate,20995157,305.0,61.9,1.9,7.5,12.1,0.6,4.84,9.0,
Old El Paso Cheesy Enchilada Kit,Old El Paso,8410076471222,182.0,31.8,2.89,5.66,1.13,0.361,0.451,5.54,3.25
Texas Gumbo with Sausage & Chicken,George & Rubie's Favorites,19966991,101.0,10.1,4.41,6.17,0.76,1.1,0.304,0.441,
