name,brand,ean_code,energy_kcal_100g,carbohydrates_100g,fat_100g,proteins_100g,salt_100g,saturated_fat_100g,sodium_100g,sugars_100g,fiber_100g
Vegan pizza Bruschetta,Vemondo,4056489451136,157.0,26.2,3.1,5.0,0.78,0.6,0.312,4.1,
Chicken Nuggets 12er,"Toque du Chef, Chef Select",20621650,230.0,16.5,13.0,10.9,1.33,2.1,0.531,1.5,1.6
bâtonnets de surimi,coraya l'original,3276170011185,112.0,10.0,4.2,8.2,1.5,0.3,0.6,2.3,
Mac And Cheese Original Flavor (Prepared),Kraft,21000658831,,,,,,,,,
Ravioli 800g panza pur boeuf,Panzani,3038352880305,91.0,13.0,2.3,3.8,0.85,0.8,0.34,1.4,1.6
Doonuts,St Michel,3178530412697,453.0,54.0,25.0,5.7,0.33,4.5,0.132,31.0,1.1
70% Cacao noir intense,Lindt,3046920022651,566.0,34.0,41.0,9.5,0.1,24.0,0.04,30.0,
Ванилов сладолед с парчета бисквити с шоколадов чипс и шоколадови парчета,Ben & Jerry's,8711327373105,273.0,31.0,15.0,4.1,0.17,9.2,0.068,25.0,
,"Bedo Imex B.V., microwave",8714601010895,476.0,56.0,22.0,9.0,1.5,11.0,0.6,8.0,11.0
Gelatina Cero Azucar,Jell-O,7622300471811,7.2,0.4,,1.4,,,,,
Tartine Doux,Primevère,3155251205296,495.0,,55.0,,0.4,15.0,0.16,,
Hot Dog saucisses fumées,McEnnedy,20149710,227.0,1.0,19.0,13.0,1.75,7.6,0.7,1.0,
Cheese Puffs,Snackrite,4088600272641,512.0,61.0,27.0,5.7,1.7,2.3,0.68,10.0,1.0
Stew Type Spicy Chicken Flavor Ramen,Buldak,8801073113381,352.0,57.9,10.3,6.9,3.9,4.83,1.56,6.21,1.38
Erbseneintopf,"Kania,Lidl",20030841,79.0,9.8,1.6,5.0,1.0,0.5,0.4,0.2,
