name,brand,ean_code,energy_kcal_100g,carbohydrates_100g,fat_100g,proteins_100g,salt_100g,saturated_fat_100g,sodium_100g,sugars_100g,fiber_100g
Whole milk,Tesco,5000436589341,33.0,2.35,1.85,1.75,0.055,1.2,0.022,2.35,
Extra Light Skim Milk,Devondale,9300639400013,33.7,4.92,0.12,3.2,0.013,0.12,0.0052,4.92,
5% Greek Yogurt,Fage,5201054017432,93.0,3.0,5.0,9.0,0.1,3.6,0.04,3.0,
Cathedral City Mature Cheddar,Tesco,5000295142893,417.0,,35.0,25.3,1.64,21.7,0.657,,
Mozarella 125g,Leader Price,3263859406820,228.0,0.8,12.0,18.0,0.4,12.0,0.16,0.8,
cottage cheese,Hacendado,8480000609632,99.0,1.7,4.0,14.0,0.82,2.6,0.328,1.7,
Spreadable Slightly Salted,Lurpak,5740900404465,679.0,0.6,75.0,0.5,0.885,35.0,0.354,0.6,
6 œufs frais BIO,Ovalis,20057251,140.0,0.5,9.8,13.0,0.31,2.6,0.124,0.5,
Blanc de Poulet Nature Sans Nitrite,"Fleury Michon,",3302740059186,100.0,0.5,1.6,21.0,1.5,0.4,0.6,0.5,
Viande hachée pur boeuf,"Férial,Marque Repère",3661112092108,121.0,,5.0,19.0,0.1,2.0,0.04,,
Norwegischer Räucherlachs,Lidl,20668518,178.0,,10.7,20.4,2.9,1.5,1.16,,
Pechuga de pavo,"Realvalle,Lidl",4056489320180,99.0,1.3,3.3,16.0,1.8,1.1,0.72,0.5,
Smoked Tofu,The Tofoo Co.,5034467000223,146.0,1.9,7.7,16.9,,1.2,,0.1,0.8
Tempeh,The Tofoo Company,5034467000872,208.0,1.8,10.9,21.3,0.01,2.9,0.004,0.5,6.1
Seitan veggie,bjorg,3229820796642,132.0,10.0,1.7,18.0,0.72,0.3,0.288,0.8,2.2
Maple syrup,Maribel,20760069,349.0,87.2,,,,,,81.5,
Agave Nectar,the-groovy-food-company,5060069170033,298.0,77.73,,,,,,66.11,
Huile d'olive vierge extra,"Primadona,Lidl",4056489141877,828.0,,92.0,,,14.0,,,
