name,brand,ean_code,energy_kcal_100g,carbohydrates_100g,fat_100g,proteins_100g,fiber_100g,salt_100g,saturated_fat_100g,sodium_100g,sugars_100g
Corn Flakes,Kellogg's,5059319014814,378.0,84.0,0.9,7.0,3.0,1.1,0.2,0.44,8.0
Protein-Packed Oatmeal,Kodiak,0705599014147,380.0,62.0,5.0,24.0,6.0,0.85,1.0,0.34,20.0
Salt Chips,Lay's,5941000025639,549.0,53.0,34.0,6.1,4.4,1.1,4.2,0.44,0.5
Sticks et bretzels,Carrefour,3245414021068,384.0,76.0,3.0,11.0,3.8,3.6,0.4,1.44,2.0
Tomato Ketchup,Heinz,8715700017006,102.0,23.2,0.1,1.2,,1.8,0.1,0.72,22.2
Real Mayonnaise,Hellmann's,8722700479475,729.0,3.57,78.6,3.57,,,6.43,,1.3
Soijakastike,Kikkoman,8715035110106,77.0,3.2,,10.0,,16.9,,6.76,0.6
Bacon,"Justin Bridou,Belles Tranches",3449865302664,129.0,0.3,2.5,23.0,,2.7,1.0,1.08,0.2
Pepperoni,Tesco,5054775296774,,,,,,,,,
Chicken Flavour,"YumYum,Yum Yum",8852018101024,80.0,8.6,4.4,1.2,,0.7775,1.8,0.311,0.3
Hummus de garbanzos receta clásica,Hacendado,8480000808585,311.0,11.1,25.8,6.0,8.0,0.855,3.3,0.342,0.1
Sardines Huile d'Olive Vierge Extra,Parmentier,3019081238643,227.0,,15.0,23.0,,,,,
Olives noires confites dénoyautées bocal 150g,Tramier,3017230000059,146.0,,14.0,1.3,,2.2,2.4,0.88,
Mango congelado,Carrefour,3560070259564,64.0,14.0,0.5,0.7,1.8,0.01,0.1,0.004,13.0
PRESIDENT CAMEMBERT 250g,"Président,Lactalis",3228021170039,269.0,,21.0,20.0,,1.4,15.0,0.56,
