name,brand,ean_code,energy_kcal_100g,carbohydrates_100g,fat_100g,proteins_100g,fiber_100g,sugars_100g,salt_100g,saturated_fat_100g,sodium_100g
Jabłko,,2000000151184,52.0,14.0,0.2,0.3,2.4,10.0,,,
Banana,,95159331,,,,,,,,,
Broccoli,,8033803726749,34.0,7.0,0.4,2.8,2.6,1.7,,,
Spinach,ASDA,5054781512257,22.0,0.8,0.8,2.2,2.1,0.8,0.31,0.1,0.124
Scarlet tomatoes,Lidl,20930769,14.0,3.0,,1.0,1.0,3.0,,,
Cucumber,Nature's Pick,4088600352725,15.0,3.63,0.11,0.65,0.5,1.67,,0.034,
Ail Violet,Les producteurs partenaires,3770013085024,111.0,18.6,0.49,5.31,5.8,1.2,0.0225,0.009,0.009
Pommes de terre,Carrefour discount,3276559054390,2.0,0.5,2.1,1.5,,,,,
Whole almonds,"The Foodie Market, Aldi",4088600441689,595.0,9.1,49.9,21.2,12.5,4.4,0.01,3.84,0.004
Sonnenblumenkerne (Bio),"Bio Primo, Maryland Trockenfrucht Vertriebs",2200280444206,599.0,7.0,52.0,21.0,,2.5,0.03,5.6,0.012
Easy cook brown rice,worldwide foods,4088600511467,169.0,35.3,1.3,3.2,1.5,0.3,,0.2,
Puy Lentils & French green lentils,Merchant Gourmet,5018095011271,138.0,18.0,1.7,8.9,7.4,1.0,0.01,0.3,0.004
Red Kidney Beans,Freshona,20166090,117.0,15.0,1.0,8.4,7.0,2.0,0.5,0.1,0.2
