name,brand,ean_code,energy_kcal_100g,carbohydrates_100g,fat_100g,proteins_100g,salt_100g,saturated_fat_100g,sodium_100g,sugars_100g,fiber_100g
Optimum Nutrition Gold Standard Whey,Optimum nutrition,5060469988566,377,5.67,4.33,80.0,0.233,1.33,0.0933,3.33,
Chocolate brownie protein bar,Lidl Stiftung & Co. KG,20035525,369,25.3,10.9,50.0,0.00261,6.0,0.00104,5.33,1.11
Beyond Burger,Beyond Meat,0850004207390,196,5.6,12.0,16.0,0.7375,2.9,0.295,0.6,1.2
Violife 100% vegan original flavour slices,Violife,5202390015878,285,20.0,23.0,,2.3,21.0,0.92,,
Vegane Bio Tomate Kräuter,"Mein Veggie Tag,Aldi,Tofu Life,InnFood",4061458069762,241,10.5,20.0,4.1,0.9,2.1,0.36,6.5,1.5
Tofu toscana,"Lidl,Vemondo",4056489332848,142,2.5,8.9,13.0,0.9,1.0,0.36,0.5,
Dijon mustard,Bramwells,4088600249414,154,3.9,11.0,6.9,5.0,0.8,2.0,2.4,3.2
Paleta de cebo iberica,Carrefour,8431876277630,300,0.5,21.0,27.0,3.5,8.5,1.4,0.5,
Parmiggiano reggiano,Milbona,4056489616443,402,,29.7,32.4,1.63,19.6,0.652,,
Jackfruit young tender pieces,Biona Organic,5032722316140,86,19.5,0.2,1.5,0.84,,0.336,,
Walnut Oil,Tesco,5051008865387,900,,100.0,,,9.1,,,
